"sep=,"
"","","","","","","DB"
"Date","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","Historical Average"
"'02-Jan","17.16","13.61","","","","8.33","8.2","19.33","","","27.2042",""
"'03-Jan","17.49","13.34","11.71","12.82","","8.12","8.09","19.16","16.4546","","",""
"'04-Jan","","13.62","12.48","13.22","10.74","","8.52","19.77","17.4724","20.9723","","15.2119"
"'05-Jan","","13.73","12.14","13.17","10.94","","","18.55","17.1957","20.9634","25.731","14.906"
"'06-Jan","17.5","","12.44","13.84","11.53","8.06","","","17.2046","20.6598","25.3203","14.9855"
"'07-Jan","17.42","","","14.09","11.68","8.25","8.7","","","20.2848","25.5882","15.0518"
"'08-Jan","17.33","14.01","","","11.66","8.57","8.74","18.3","","19.7313","25.6417","15.0388"
"'09-Jan","","13.81","12.44","","","8.61","8.56","18.13","17.0082","","25.2132","14.9253"
"'10-Jan","17.48","13.97","12.63","13.88","","8.52","8.61","18.5","16.6689","","","14.9383"
"'11-Jan","","13.43","12.67","14.13","11.65","","8.56","18.56","17.0796","20.2491","","15.0062"
"'12-Jan","","13.09","12.82","14.01","11.81","","","18.7","16.7136","20.4723","25.2043","14.99"
"'13-Jan","17.4","","12.73","13.85","11.72","8.48","","","17.1242","19.7938","25.6239","14.9672"
"'14-Jan","18.23","","","13.79","12.13","8.58","8.58","","","19.6509","25.6417","15.0017"
"'15-Jan","18.77","","","","11.62","8.41","8.63","","","18.7135","25.4632","14.8271"
"'16-Jan","18.77","12.83","","","","8.54","9.29","18.51","","","25.5971","14.8745"
"'17-Jan","19.08","12.8","12.91","","","8.42","8.92","18.52","16.5707","","","14.7861"
"'18-Jan","","13.01","12.85","13.5","","","9.14","18.53","16.7314","","","14.8112"
"'19-Jan","","13.01","12.8","13.24","11.25","","","18.78","16.8564","18.2313","","14.7325"
"'20-Jan","","","13.04","13.06","11.11","","","","17.1242","17.2582","26.1774","14.712"
"'21-Jan","19.62","","","12.81","11.18","8.27","","","","16.5886","26.6238","14.6567"
"'22-Jan","19.45","12.96","","","10.89","8.4","8.85","19.39","","17.0171","26.9988","14.748"
"'23-Jan","19.9","13.05","12.99","","","8.56","9.05","19.47","17.1778","","26.1239","14.7139"
"'24-Jan","20","13.2","13.03","12.43","","8.57","8.86","19.74","17.7046","","","14.7566"
"'25-Jan","","13.13","13.07","12.59","10.5","","9.24","19.64","18.6153","15.9547","","14.7434"
"'26-Jan","","13.11","13.31","12.94","10.67","","","19.51","18.5706","16.66","26.4721","14.9053"
"'27-Jan","20.05","","13.43","13.18","10.29","8.54","","","18.2671","16.4457","25.7846","14.7797"
"'28-Jan","20.11","","","13.49","10.49","8.67","9.27","","","15.8564","24.9364","14.703"
"'29-Jan","20.11","12.98","","","10.12","8.77","9.23","19.1","","15.9725","26.2756","14.7635"
"'30-Jan","19.74","13.12","13.29","","","9.3","9.29","18.38","17.9546","","25.8739","14.6791"
"'31-Jan","19.53","12.85","13.38","13.89","","9.15","8.88","18.34","17.776","","","14.6232"
"'01-Feb","","13.6","13.49","14.39","10.37","","8.85","18.65","18.276","15.9279","","14.8578"
"'02-Feb","","13.83","12.58","14.41","10.45","","","17.09","17.6153","15.1243","26.9363","14.6036"
"'03-Feb","18.83","","12.43","15.12","10.54","8.96","","","18.0349","14.8654","28.0166","14.7737"
"'04-Feb","18.88","","","15.75","10.41","8.99","8.8","","","15.1422","27.347","14.7824"
"'05-Feb","18.94","13.48","","","10.32","9.11","8.9","16.39","","15.0797","27.7577","14.7252"
