"sep=,"
"","","465780.KS"
"Date","2025","2024","2023","Historical Average"
"'02-Jan","104335","102875","",""
"'03-Jan","104535","102650","",""
"'04-Jan","","102700","",""
"'05-Jan","","102710","",""
"'06-Jan","104605","","",""
"'07-Jan","104600","","",""
"'08-Jan","104655","102735","",""
"'09-Jan","104700","","",""
"'10-Jan","104760","102815","",""
"'11-Jan","","102965","",""
"'12-Jan","","103000","",""
"'13-Jan","104710","","",""
"'14-Jan","104665","","",""
"'15-Jan","104720","103085","",""
"'16-Jan","104720","102970","",""
"'17-Jan","104815","102925","",""
"'18-Jan","","102825","",""
"'20-Jan","104815","","",""
"'21-Jan","104795","","",""
"'22-Jan","104795","","",""
"'23-Jan","104830","102930","",""
"'24-Jan","104885","102900","",""
"'25-Jan","","102905","",""
"'26-Jan","","103050","",""
"'29-Jan","","102990","",""
"'30-Jan","","103095","",""
"'31-Jan","104860","103095","",""
"'01-Feb","","103165","",""
"'02-Feb","","103280","",""
"'03-Feb","104890","","",""
"'05-Feb","104880","103125","",""
"'06-Feb","104915","103165","",""
"'07-Feb","104910","103265","",""
"'08-Feb","","103285","",""
"'13-Feb","","103190","",""
"'14-Feb","","102915","",""
"'15-Feb","","103170","",""
"'19-Feb","","103160","",""
"'20-Feb","","103180","",""
"'21-Feb","","103215","",""
"'22-Feb","","103180","",""
"'26-Feb","","103435","",""
"'27-Feb","","103380","",""
"'28-Feb","","103415","",""
"'29-Feb","","103350","",""
"'04-Mar","","103455","",""
"'05-Mar","","103435","",""
"'06-Mar","","103500","",""
"'07-Mar","","103555","",""
"'08-Mar","","103640","",""
"'11-Mar","","103710","",""
"'12-Mar","","103670","",""
"'13-Mar","","103690","",""
"'14-Mar","","103700","",""
"'15-Mar","","103600","",""
"'18-Mar","","103610","",""
"'19-Mar","","103585","",""
"'20-Mar","","103575","",""
"'21-Mar","","103720","",""
"'22-Mar","","103820","",""
"'25-Mar","","103880","",""
"'26-Mar","","103825","",""
"'28-Mar","","103915","",""
"'29-Mar","","103955","",""
"'01-Apr","","103915","",""
"'02-Apr","","103960","",""
"'03-Apr","","103960","",""
"'05-Apr","","103980","",""
"'08-Apr","","103955","",""
"'09-Apr","","103955","",""
"'11-Apr","","103745","",""
"'16-Apr","","103825","",""
"'17-Apr","","103855","",""
"'19-Apr","","103875","",""
"'22-Apr","","103815","",""
"'23-Apr","","103820","",""
"'24-Apr","","103850","",""
"'25-Apr","","103870","",""
"'26-Apr","","103750","",""
"'30-Apr","","103900","",""
"'02-May","","103925","",""
"'03-May","","103975","",""
"'07-May","","104070","",""
"'08-May","","104075","",""
"'09-May","","104080","",""
"'10-May","","104145","",""
"'13-May","","104185","",""
"'14-May","","104125","",""
"'16-May","","104345","",""
"'17-May","","104295","",""
"'20-May","","104310","",""
"'21-May","","104300","",""
"'22-May","","104335","",""
"'23-May","","104335","",""
"'24-May","","104385","",""
"'27-May","","104355","",""
"'28-May","","104405","",""
"'29-May","","104400","",""
"'30-May","","104365","",""
"'31-May","","104360","",""
"'04-Jun","","104525","",""
"'05-Jun","","104515","",""
"'07-Jun","","104680","",""
"'10-Jun","","104625","",""
"'11-Jun","","104620","",""
"'12-Jun","","104700","",""
"'13-Jun","","104835","",""
"'17-Jun","","104960","",""
"'18-Jun","","104980","",""
"'19-Jun","","104955","",""
"'20-Jun","","105070","",""
"'24-Jun","","105065","",""
"'27-Jun","","105070","",""
"'01-Jul","","105075","",""
"'03-Jul","","105250","",""
"'05-Jul","","105385","",""
"'08-Jul","","105415","",""
"'09-Jul","","105405","",""
"'10-Jul","","105425","",""
"'11-Jul","","105455","",""
"'15-Jul","","105510","",""
"'16-Jul","","105560","",""
"'17-Jul","","105620","",""
"'18-Jul","","105640","",""
"'22-Jul","","105560","",""
"'23-Jul","","105645","",""
"'24-Jul","","105620","",""
"'25-Jul","","105755","",""
"'26-Jul","","105760","",""
"'29-Jul","","105760","",""
"'30-Jul","","105820","",""
"'31-Jul","","105780","",""
"'01-Aug","","105805","",""
"'02-Aug","","105920","",""
"'05-Aug","","106105","",""
"'06-Aug","","106155","",""
"'07-Aug","","105950","",""
"'12-Aug","","105980","",""
"'13-Aug","","105990","",""
"'14-Aug","","106065","",""
"'16-Aug","","106055","",""
"'19-Aug","","105985","",""
"'20-Aug","","105985","",""
"'21-Aug","","105990","",""
"'22-Aug","","105960","",""
"'23-Aug","","106000","",""
"'26-Aug","","105995","",""
"'27-Aug","","106045","",""
"'28-Aug","","105975","",""
"'29-Aug","","106030","",""
"'02-Sep","","105955","",""
"'03-Sep","","105915","",""
"'04-Sep","","105935","",""
"'05-Sep","","106070","",""
"'06-Sep","","106110","",""
"'09-Sep","","106155","",""
"'10-Sep","","106135","",""
"'11-Sep","","106150","",""
"'13-Sep","","106195","",""
"'19-Sep","","106245","",""
"'20-Sep","","106315","",""
"'21-Sep","","","99960","103137.5"
"'22-Sep","","","100085","103200"
"'23-Sep","","106300","","103192.5"
"'24-Sep","","106315","","103200"
"'25-Sep","","","100120","103217.5"
"'26-Sep","","106435","100125","103280"
"'27-Sep","","106465","100145","103305"
"'28-Sep","","","","103305"
"'29-Sep","","","","103305"
"'30-Sep","","106460","","103302.5"
"'01-Oct","","","","103302.5"
"'02-Oct","","106535","","103340"
"'03-Oct","","","","103340"
"'04-Oct","","106565","99755","103160"
"'05-Oct","","","99845","103205"
"'06-Oct","","","99855","103210"
"'07-Oct","","106525","","103190"
"'08-Oct","","106315","","103085"
"'09-Oct","","","","103085"
"'10-Oct","","106395","99965","103180"
"'11-Oct","","106370","99975","103172.5"
"'12-Oct","","","100085","103227.5"
"'13-Oct","","","100040","103205"
"'14-Oct","","106425","","103232.5"
"'15-Oct","","106450","","103245"
"'16-Oct","","106485","99990","103237.5"
"'17-Oct","","106550","99970","103260"
"'18-Oct","","106535","99805","103170"
"'19-Oct","","","99720","103127.5"
"'20-Oct","","","99810","103172.5"
"'21-Oct","","106535","","103172.5"
"'22-Oct","","106560","","103185"
"'23-Oct","","106525","99850","103187.5"
"'24-Oct","","106560","99880","103220"
"'25-Oct","","106635","99855","103245"
"'26-Oct","","","99745","103190"
"'27-Oct","","","99660","103147.5"
"'28-Oct","","106640","","103150"
"'29-Oct","","","","103150"
"'30-Oct","","106530","99660","103095"
"'31-Oct","","106560","99695","103127.5"
"'01-Nov","","106570","99660","103115"
"'02-Nov","","","100045","103307.5"
"'03-Nov","","","100005","103287.5"
"'04-Nov","","","","103287.5"
"'05-Nov","","106585","","103295"
"'06-Nov","","106610","100095","103352.5"
"'07-Nov","","106580","100285","103432.5"
"'08-Nov","","106655","100375","103515"
"'09-Nov","","","100425","103540"
"'10-Nov","","","100430","103542.5"
"'11-Nov","","106695","","103562.5"
"'12-Nov","","106690","","103560"
